21-8233-1494,5,2023-11-09 20:52:56.697000 UTC
107-7151-7107,5,2023-11-09 20:52:24.270000 UTC
21-8233-1450,5,2023-11-09 20:51:56.700000 UTC
107-7151-7019,5,2023-11-09 20:50:26.830000 UTC
21-8233-1287,5,2023-11-09 20:48:15.823000 UTC
193-5925-3419,5,2023-11-09 20:47:18.027000 UTC
21-8233-0998,44,2023-11-09 20:41:37.453000 UTC
21-8233-0894,44,2023-11-09 20:39:31.217000 UTC
21-8233-0892,11,2023-11-09 20:39:27.340000 UTC
107-7151-6469,44,2023-11-09 20:38:15.957000 UTC
21-8233-0780,5,2023-11-09 20:37:02.210000 UTC
193-5925-2887,5,2023-11-09 20:35:31.580000 UTC
193-5925-2864,5,2023-11-09 20:34:57.910000 UTC
193-5925-2837,44,2023-11-09 20:34:21.680000 UTC
107-7151-6255,44,2023-11-09 20:33:44.887000 UTC
107-7151-6246,1,2023-11-09 20:33:35.990000 UTC
107-7151-6243,5,2023-11-09 20:33:31.623000 UTC
21-8233-0526,44,2023-11-09 20:31:31.643000 UTC
193-5925-2633,5,2023-11-09 20:30:00.320000 UTC
21-8233-0257,44,2023-11-09 20:25:42.730000 UTC
193-5925-2394,5,2023-11-09 20:24:48.357000 UTC
193-5925-2360,5,2023-11-09 20:24:03.477000 UTC
107-7151-5808,44,2023-11-09 20:23:53.180000 UTC
107-7151-5733,44,2023-11-09 20:22:21.127000 UTC
107-7151-5604,44,2023-11-09 20:19:34.247000 UTC
21-8232-9946,11,2023-11-09 20:19:02.890000 UTC
193-5925-2110,5,2023-11-09 20:18:32.663000 UTC
193-5925-2080,44,2023-11-09 20:17:58.147000 UTC
193-5925-2069,44,2023-11-09 20:17:43.813000 UTC
193-5925-2045,5,2023-11-09 20:17:03.983000 UTC
193-5925-1897,11,2023-11-09 20:13:43.277000 UTC
21-8232-9677,1,2023-11-09 20:13:13.640000 UTC
107-7151-5303,44,2023-11-09 20:12:53.617000 UTC
107-7151-5259,44,2023-11-09 20:11:52.947000 UTC
107-7151-5027,5,2023-11-09 20:06:33.180000 UTC
107-7151-4967,44,2023-11-09 20:05:22.667000 UTC
193-5925-1474,5,2023-11-09 20:04:36.113000 UTC
193-5925-1465,11,2023-11-09 20:04:23.810000 UTC
21-8232-9231,44,2023-11-09 20:03:21.177000 UTC
21-8232-9185,44,2023-11-09 20:02:22.290000 UTC
21-8232-9150,44,2023-11-09 20:01:33.187000 UTC
193-5925-1237,44,2023-11-09 19:59:33.513000 UTC
107-7151-4674,44,2023-11-09 19:59:16.970000 UTC
107-7151-4670,44,2023-11-09 19:59:14.603000 UTC
21-8232-8999,5,2023-11-09 19:58:28.710000 UTC
193-5925-1121,44,2023-11-09 19:57:17.417000 UTC
107-7151-4558,44,2023-11-09 19:56:52.153000 UTC
21-8232-8834,44,2023-11-09 19:55:00.913000 UTC
193-5925-0924,44,2023-11-09 19:53:13.330000 UTC
21-8232-8728,5,2023-11-09 19:53:03.027000 UTC
21-8232-8669,5,2023-11-09 19:51:50.707000 UTC
193-5925-0796,44,2023-11-09 19:50:54.963000 UTC
107-7151-4216,11,2023-11-09 19:50:18.723000 UTC
107-7151-4183,5,2023-11-09 19:49:44.117000 UTC
193-5925-0670,5,2023-11-09 19:48:34.087000 UTC
107-7151-4049,44,2023-11-09 19:47:05.787000 UTC
21-8232-8411,5,2023-11-09 19:47:01.317000 UTC
193-5925-0488,5,2023-11-09 19:44:37.020000 UTC
193-5925-0479,11,2023-11-09 19:44:25.010000 UTC
21-8232-8286,44,2023-11-09 19:44:23.997000 UTC
21-8232-8170,5,2023-11-09 19:41:54.727000 UTC
193-5925-0291,44,2023-11-09 19:40:48.000000 UTC
21-8232-8030,44,2023-11-09 19:39:03.057000 UTC
193-5925-0210,44,2023-11-09 19:38:59.027000 UTC
21-8232-7832,44,2023-11-09 19:35:00.630000 UTC
193-5924-9974,44,2023-11-09 19:34:00.460000 UTC
21-8232-7770,44,2023-11-09 19:33:35.267000 UTC
193-5924-9942,44,2023-11-09 19:33:23.120000 UTC
21-8232-7702,44,2023-11-09 19:32:08.147000 UTC
107-7151-3278,44,2023-11-09 19:30:46.797000 UTC
193-5924-9766,44,2023-11-09 19:29:38.077000 UTC
193-5924-9747,5,2023-11-09 19:29:07.267000 UTC
